250, 250, 0, 0.000000
0, 250, 0, 0.000000
250, 250, 0, 0.000000
250, 250, 250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
250, 250, -250, 0.000000
0, 0, -250, 0.000000
